word,part_of_speech,meaning,example,example_meaning,definition,ID
colophon,noun,lời ghi cuối sách,"""When sometime before 1456 the """"Gutenberg"""" Bible appeared, it had no colophon .""","Khi Kinh thánh “Gutenberg” xuất hiện một ít lâu trước năm 1456, nó không có phần lời ghi cuối sách .","In manuscripts (typically before the invention of printing), the note, usually at the end, left by the scribe who copied it, giving information on his exemplar, where and when the copy was made, and sometimes, his own name.",10206
foreword,noun,lời nói đầu,"Discuss comments from the foreword , pages 3-4.",Thảo luận lời nói đầu nơi trang 3 và 4.,An introductory section preceding the main text of a book or other document; a preface or introduction.,10207
volume,noun,thể tích,"And it’s the volume of food that affects satiety, rather than the type of food.","Chính thể tích thức ăn bạn ăn làm bạn thấy no, không pahir là loại thức ăn.","A unit of three dimensional measure of space that comprises a length, a width and a height. It is measured in units of cubic centimeters in metric, cubic inches or cubic feet in English measurement. (The room is 9x12x8, so its volume is 864 cubic feet.)",10208
one,adjective,nhất,You're playing with fire if you insist on riding your motorcycle without a helmet on .,Bạn đang đùa với lửa nếu bạn nhất quyết chạy xe máy mà không đội mũ bảo hiểm.,(mathematics) The neutral element with respect to multiplication in a ring.,10209
den,verb,hang ổ,It seems that I've strayed into a den of thieves.,Làm như là tôi vừa đi lạc vô một hang ổ trộm cướp.,The home of certain animals.,10210
ore,noun,quặng,"They've been shipping in barrels of Dragon's Breath, a highly explosive ore .","Chúng đang gửi những thùng hơi thở rồng, và quặng nổ loại mạnh.","A Swedish unit of currency that makes up the krona, 100 öre equals one krona.",10211
eat,verb,ăn,I don't feel like eating animal proteins today.,Hôm nay tôi không muốn ăn đạm động vật.,"(ambitransitive) To consume (something solid or semi-solid, usually food) by putting it into the mouth and swallowing it.",10212
eta,noun,Eta,I need you to double-check the eta on those lab results.,Tôi cần cậu kiểm tra kép ETA với những kết quả trong phòng thí nghiệm.,"The seventh letter of the Modern Greek alphabet, the eighth in Old Greek.",10213
ene,noun,1,En -rogel Well,Giếng Ên -rô-ghên,east-northeast,10214
roe,noun,trứng cá,(Robert J. Baran) – Rose rose to put rose roes on her rows of roses .,(Robert J. Baran) (Rose đứng dậy để bỏ trứng cá màu hồng vào hàng hoa hồng.),The eggs of fish.,10215
eel,noun,cá chình,"There're ones with dogs and eels , too.",Có một em với mấy con chó và mấy con cá chình !,Any fish of the order Anguilliformes which are elongated and resemble snakes. There are freshwater and marine species.,10216
ear,noun,tai,"And it doesn't have to be through the ears : this system uses an electrotactile grid on the forehead, so whatever's in front of the video feed, you're feeling it on your forehead.","Nhưng nó không nhất thiết phải qua tai : Hệ thống này sử dụng mạng lưới điện tiếp xúc trước trán, nên bất cứ thứ gì trước ống kính máy quay bạn sẽ cảm giác nó ở trán.",(countable) The fruiting body of a grain plant.,10217
nee,adjective,không,They nee us.,Họ cần chúng ta.,Alternative spelling of nee.,10218
end,verb,hoàn thành,A soldier goes on until the end of the mission.,Một người lính sẽ phải hoàn thành nhiệm vụ.,Extreme part.,10219
ira,noun,ira,"Promise me, Ira !","Hứa với em đi, lra !",Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).,10220
age,verb,thời kỳ,His voice sounds in harmony with those prophetic voices of all ages past.,Những điều ông nói phù hợp với những lời tiên tri của tất cả những thời kỳ trước.,"The whole duration of a being, whether animal, vegetable, or other kind; lifetime.",10221
tie,verb,buộc,Do you know how to tie your shoes?,Bạn có biết buộc dây giày không?,"A necktie (item of clothing consisting of a strip of cloth tied around the neck). See also bow tie, black tie.",10222
ant,verb,con kiến,What goals is this ant trying to achieve by climbing this blade of grass?,Vì cái gì mà con kiến này cứ mãi cố bò lên đỉnh phiến cỏ?,"Any of various insects in the family Formicidae in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.",10223
spa,noun,suối khoáng,"Hey, thanks for the spa day, sunshine.","Này, cám ơn đã cho đi spa hôm nay, trai đẹp ạ.",A health resort near a mineral spring or hot spring.,10224
see,verb,xem,You should see this film if you get the opportunity.,Bạn nên xem phim này nếu có cơ hội.,To perceive with the eyes.,10225
eve,verb,chiều tối,"Hence, no trials could be held on the eve of a Sabbath or a festival.","Do đó, không thể có phiên xử vào chiều tối trước ngày Sa-bát hoặc ngày lễ.","The day or night before, usually used for holidays, such as Christmas Eve.",10226
ten,noun,chục,Tens of thousands of elephants are killed every year for their ivory tusks.,Hàng chục ngàn con voi bị giết mỗi năm để lấy ngà.,(uncountable) The number following nine.,10227
ego,noun,cái tôi,"We also see just a relaxing of ego , and sort of a dismantling of artifice.","Ta cũng thấy cái tôi giảm đi, và sự lừa dối bị dỡ bỏ.","the self, especially with a sense of self-importance",10228
net,adjective,Internet,Interested in what drugs are trending right now on the dark net markets?,Bạn muốn biết xu hướng dùng ma túy trên thị trường mạng Internet ngầm?,"A mesh of string, cord or rope.",10229
art,noun,nghệ thuật,Everyone is more or less interested in art .,Ai cũng ít nhiều có chút quan tâm đến nghệ thuật .,"(uncountable) Human effort to imitate, supplement, alter, or counteract the work of nature.",10231
tar,noun,hắc ín,"Some villagers had found this guy foaming at the mouth, oozing some kind of black tar .","Một số người dân tìm thấy anh ta. Miệng sủi bọt, mồm anh ta nhỏ ra hắc ín .","(uncountable) A black, oily, sticky, viscous substance, consisting mainly of hydrocarbons derived from organic materials such as wood, peat, or coal.",10232
tee,verb,tờ,"Hey, Tee .",Này Tee .,The name of the Latin script letterT/t.,10233
tea,noun,trà,"To be sure, relaxed conversation over a good brew —coffee or tea , depending on your taste— is one of life’s simple pleasures.","Chắc chắn rằng cuộc nói chuyện thư thái cùng với một thức uống thơm ngon—cà phê hoặc trà , tùy vào khẩu vị của bạn—là một niềm vui thích bình dị trong đời sống.","(uncountable) The dried leaves or buds of the tea plant,Camellia sinensis.",10234
ice,noun,băng,"And so, as the surrounding water gets warmer, it speeds up the melting of the ice .","Và do đó, vùng nước xung quanh trở nên nóng hơn, đẩy nhanh tốc độ tan băng .",(uncountable) Water in frozen (solid) form.,10235
oar,noun,chèo,"Waving your big fluorescent oar around, attracting a bunch of attention.","Vung vẩy cái mái chèo phát quang của em, thu hút cả đống sự chú ý.","An implement used to propel a boat or a ship in the water, having a flat blade at one end, being rowed from the other end and being normally fastened to the vessel.",10236
aloe,noun,cây lô hội,"The building is currently owned by Forever Living Products Intl, a multi-level marketing company selling aloe vera products.","Hiện nay tòa nhà nằm dưới quyền sở hữu của Forever Living Products Intl, công ty chuyên sản xuất sản phẩm chăm sóc sức khỏe làm từ cây lô hội (nha đam).","(in the plural) The resin of the treesAquilaria agallochaandAquilaria malaccensis, known for their fragrant odour",10237
knee,verb,khuỷu,"If he tries it again, take out a knee .","Nếu nó còn tái phạm, hãy bắn vào khuỷu chân.","(anatomy) In humans, the joint or the region of the joint in the middle part of the leg between the thigh and the shank.",10238
anti,adjective,chống lại,"In this anti -Witness campaign, he was backed up by the clergy.",Giới chức giáo phẩm ủng hộ ông để vận động chống lại các Nhân-chứng như thế.,(rare) A word used before a noun or noun phrase to indicate opposition to the concept expressed by the noun or noun phrase.,10241
neon,adjective,Nê-ông,This value controls the number of iterations to use with the Neon and Find Edges effects,Giá trị này điều khiển số lần lặp lại cần dùng với hiệu ứng Nê - ông và Tìm cạnh,(uncountable) The chemical element (symbolNe) with an atomic number of 10.,10242
oleo,noun,Macgarin,"A number of his compositions, including ""St. Thomas"", "" Oleo "", ""Doxy"", ""Pent-Up House"", and ""Airegin"", have become jazz standards.","Một số nhạc khúc của ông, gồm ""St. Thomas"", "" Oleo "", ""Doxy"", ""Pent-Up House"", và ""Airegin"", đã trở thành jazz standard.","(US) margarine, an abbreviation of oleomargarine.",10243
alee,adverb,dưới gió,"Alee , the axe!",đưa cây búa!,On the lee side of a ship; to leeward.,10245
alas,noun,chao ôi,"Alas , you're now in the hands of the SS.","Chao ôi , giờ anh đứt gánh trong tay của SS bọn tôi","Used to express sorrow, regret, compassion or grief.",10246
tsar,noun,Nga hoàng,Where's the Russian tsar ?,Nga hoàng đâu?,(historical) An emperor of Russia (before 1917) and of some South Slavic kingdoms.,10247
odor,noun,mùi,And these dyes change color in response to odors .,Và các chất tạo màu này đổi màu do mùi .,"Any smell, whether fragrant or offensive; scent; perfume.",10248
once,adverb,một khi,"Once you've got into a bad habit, it can be difficult to get out of it.",Một khi đã mắc một tật xấu thì có thể khó mà từ bỏ nó.,One and only one time.,10249
star,noun,sao,Early explorers used the stars for navigation.,Các nhà thám hiểm trước đây sử dụng các ngôi sao để định hướng.,"Any small luminous dot appearing in the cloudless portion of the night sky, especially with a fixed location relative to other such dots.",10250
iron,verb,là,I don't think the iron birds are dangerous.,Tôi không nghĩ những con chim sắt có gì là nguy hiểm.,"(uncountable) A metallic chemical element having atomic number 26, and symbol Fe.",10251
tree,verb,Cây,A tree that can bend with the wind is more likely to survive a storm.,Một cái cây có thể cong lại trước cơn gió thì dễ sống sót hơn khi gặp bão.,"A large plant, not exactly defined, but typically over four meters in height, a single trunk which grows in girth with age and branches (which also grow in circumference with age).",10252
edge,noun,cạnh,The crater Dubyago can be seen on the southern edge of the mare.,Hố trũng Dubyago có thể nhìn thấy ở cạnh phía nam của biển này.,The boundary line of a surface.,10253
isle,noun,đảo,"Known as the unofficial national anthem of the Isle of Man, the brothers performed the song during their world tour to reflect their pride in the place of their birth.","Bài hát này được biết đến như là quốc ca không chính thức của Đảo Man, và ban nhạc trình diễn bài hát này trong tour lưu diễn trên toàn thế giới để phản ánh niềm tự hào của họ về nơi ba anh em đã được sinh ra.",(obsolete or poetic) An island.,10254
echo,verb,tiếng vang,"Besides, the strength of a sonar echo is directly proportional to the size of a ship.","Vả lại, tiếng vang của thiết bị phát tín hiệu sẽ phụ thuộc vào độ lớn của tàu.",A reflected sound that is heard again by its initial observer.,10255
alto,noun,giọng nữ trầm,"It takes variety—sopranos and altos , baritones and basses—to make rich music.","Để tạo ra được âm nhạc phong phú, phải có nhiều giọng ca khác nhau—giọng nữ cao và giọng nữ trầm , giọng nam cao và giọng nam trầm.","A musical part or section higher than tenor and lower than soprano, formerly the part that performed a countermelody above the tenor or main melody.",10256
oboe,noun,kèn ôboa,You don't play the oboe .,Ông có biết thổi kèn ôboa đâu.,A soprano and melody wind instrument in the modern orchestra and wind ensemble. It is a smaller instrument and generally made of grendilla wood. It is a member of the double reed family.,10257
stir,verb,khuấy,"CAPULET Tush, I will stir about,","Capulet tush, tôi sẽ khuấy ,","(transitive, dated) To change the place of in any manner; to move.",10258
ache,verb,nhức,""" It causes fatigue , it can cause headaches , neck ache , back ache and it can cause things like diplopia or double vision and intermittent blur vision "" .",""" Hội chứng này gây ra tình trạng mệt mỏi , nhức đầu , đau cổ , đau lưng và nó có thể gây ra một vài biến chứng đại loại như nhìn một thành hai và mắt mờ không liên tục "" .","(intransitive) To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed.",10259
item,noun,món,"Throw out loose candy , spoiled items , and any homemade treats that have n't been made by someone you know .","Hãy vứt bỏ đi những món bị hư , kẹo có vỏ gói không chặt và bất cứ món gì làm bằng tay của một người nào đó mà bạn không quen biết .",A distinct physical object.,10260
neat,adjective,gọn gàng,Be clean and neat and orderly.,"Hãy thanh sạch, trang nhã, và gọn gàng .",(archaic) A bull or cow (singular of cattle),10261
arena,noun,vũ đài,You go in the arena and you kill me.,đi trong vũ đài và giết chết tôi và anh ta.,"An enclosed area, often outdoor, for the presentation of sporting events (sports arena) or other spectacular events; earthen area, often oval, specifically for rodeos (N. America) or circular area for bullfights (especially Hispanic America).",10262
erase,verb,xóa,A memory can be erased only so many times.,Ký ức có thể bị xóa đi xóa lại nhiều lần.,(transitive) to remove markings or information,10263
enter,verb,vào,He breathed deeply before entering his boss's office.,Anh ta hít một hơi thật sâu trước khi bước vào phòng của sếp.,(transitive) To type (something) into a computer; to input,10264
opera,noun,ca kịch,"At the beginning of the 20th century, Nellie Melba was one of the world's leading opera singers.","Vào đầu thế kỷ XX, Nellie Melba là một trong số các ca sĩ ca kịch hàng đầu thế giới.","(music) A theatrical work combining drama, music, song and sometimes dance.",10265
alien,noun,người nước ngoài,"After that, local people were favored for employment over aliens .","Sau đó, người dân trong nước được ưu tiên hơn người nước ngoài khi tìm việc làm.","A person, animal, plant, or other thing which is from outside the family, group, organization, or territory under consideration.",10266
alone,adverb,một mình,My brother is big enough to travel alone .,Anh của tôi đủ lớn để đi du lịch một mình .,"By one's self, solitary.",10267
adore,verb,quý mến,And he adores you too.,Và hắn cũng quý mến cô.,To worship.,10268
email,noun,thư điện tử,I just wanted to check my email .,Tôi chỉ muốn kiểm tra hòm thư điện tử thôi.,Alternative spelling of e-mail.,10269
orate,adjective,diễn thuyết,My father deemed himself an orator .,Cha tôi thì tự cho mình là một nhà diễn thuyết,To speak formally; to give a speech.,10270
ocean,noun,đại dương,I would also like to see the ocean .,Tôi cũng muốn nhìn thấy đại dương .,One of the five large bodies of water separating the continents.,10271
asset,noun,tài sản,We can protect your assets .,Ta có thể bảo vệ tài sản của các người.,Something or someone of any value; any portion of one's property or effects so considered.,10272
otter,noun,rái cá,"Oh, look at those otter eyes.","Oh, nhìn vào đôi mắt rái cá kia.","Any aquatic or marine carnivorous mammal, member of the family Mustelidae, which also includes weasels, polecats, badgers, and others.",10273
error,noun,lỗi,Everybody laughed at his error .,Mọi người đều cười vào lỗi anh ấy mắc phải.,"(computing) To function improperly due to an error, especially accompanied by error message.",10274
aorta,noun,động mạch chủ,"It's near your aorta , so getting that sample carries serious risks.",Nó ở gần động mạch chủ nên việc lấy mẫu khá là nguy hiểm.,(anatomy) The great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system.,10275
steer,verb,lái,But who will these states be steered by ?,Thế nhưng liệu ai sẽ lái hướng đi cho các bang này ?,"The castrated male of cattle, especially one raised for beef production.",10276
agent,noun,người đại lý,"That guy I was meeting in the parking lot is Thor Svenson, my travel agent .",Gã trong bãi đậu xe là người đại lý du lịch của tôi!,"One who exerts power, or has the power to act; an actor.",10277
unite,verb,đoàn kết,The whole family's gotta put up a united front for Ig.,Cả gia đình cần phải đoàn kết lại vì Ig.,To come or bring together as one.,10279
easel,noun,giá vẽ,"With the development of easel painting in the Renaissance, painting gained independence from architecture.","Với sự phát triển của vẽ bức tranh trong thời phục Hưng, bức tranh giành độc lập từ kiến trúc.","An upright frame, typically on three legs, for displaying or supporting something, such as an artist’s canvas.",10280
aloha,noun,Aloha,"Well, say "" aloha "" to it.","Vậy thì nói "" Aloha "" đi.",Expressing good wishes when greeting or parting from someone; hello; goodbye. [from 19th c.],10281
altimeter,noun,cao kế,"a GPS, a compass, a barometric altimeter","một GPS, một la bàn và một cao kế khí áp",An apparatus for measuring altitude.,10282
collage,verb,nghệ thuật cắt dán,"is known for her digital collages ,","nổi tiếng bởi nghệ thuật cắt dán ảnh số của cô,",A picture made by sticking other pictures onto a surface.,10283
marauder,noun,kẻ cướp,"If a person went outside the gate when bandits and marauders were roaming about, he could be robbed or killed.","Nếu đi ra ngoài thành khi có kẻ cướp , người đó có thể bị cướp hoặc bị giết.",Someone who moves about in roving fashion looking for plunder. (e.g. a band of marauders),10284
briny,adjective,mặn,""" Briny future for vulnerable Malta"".",Ngày 3 tháng 3 năm 2009. ^ “ Briny future for vulnerable Malta”.,"Of, pertaining to, resembling or containing brine; salty",10285
brawn,verb,bắp thịt,And my brawn .,Và cơ bắp .,"Strong muscles or lean flesh, especially of the arm, leg or thumb.",10286
hermit,noun,ẩn sĩ,Wanting to be a hermit and employing a caretaker in the house doesn't add up.,"Muốn trở thành một ẩn sĩ và cũng muốn có người mang hành lý, là không phù hợp.",A religious recluse; someone who lives alone for religious reasons; an eremite.,10287
corruption,noun,sự tham nhũng,How do you cope with the reality of widespread corruption ?,Làm thế nào bạn đối phó với thực tế của sự tham nhũng đang lan tràn?,"The act of corrupting or of impairing integrity, virtue, or moral principle; the state of being corrupted or debased; loss of purity or integrity; depravity; wickedness; impurity; bribery.",10289
traitor,noun,kẻ phản bội,They can't abide traitors who do the bidding of the British army.,Họ không thể bỏ qua cho những kẻ phản bội giúp đỡ... quân đội Anh được.,"One who violates his allegiance and betrays his/her country; one guilty of treason; one who, in breach of trust, delivers his country to an enemy, or yields up any fort or place intrusted to his defense, or surrenders an army or body of troops to the enemy, unless when vanquished; also, one who takes arms and levies war against his country; or one who aids an enemy in conquering his country.",10290
brigade,verb,lữ,"He creates a "" Brigade of Witch Hunters"" and calls for an instructor in magic.","Ông thành lập một "" Lữ đoàn Thợ săn Phù thủy"" và đăng thông báo tuyển thầy dạy pháp thuật.","A group of people organized to perform a common purpose. e.g. a work brigade, a fire brigade",10291
absorb,verb,hấp thụ,The flour is added and stirred until all the water is absorbed .,Bột được thêm vào và quấy cho đến khi chúng hấp thụ hoàn toàn trong nước.,(transitive) To include so that it no longer has separate existence; to swallow up; to engulf; to overwhelm; to cause to disappear as if by swallowing up; to use up; to incorporate; to assimilate.,10292
mercilessly,adverb,một cách nhẫn tâm,But they mercilessly .,Nhưng chúng không nương tay .,In a merciless manner.,10293
savage,adjective,dã man,There's too many savages out there.,Ngoài kia có nhiều vụ dã man quá.,wild; not cultivated,10294
clasp,noun,móc,"the clasp is damaged, Like it was ripped off of her neck.","Móc bị hư, như là bị giựt khỏi cổ.","A fastener or holder, particularly one that clasps.",10295
trivet,noun,cái kiền,"Manufacturers recommend that hot pots and pans never be placed directly on the surface, and that a hot pad or trivet is used under portable cooking units.",Các nhà sản xuất khuyến cáo không nên đặt nồi và chảo nóng trực tiếp lên bề mặt và miếng nóng hoặc trivet được sử dụng trong các thiết bị nấu ăn cầm tay.,"a stand with three short legs, especially for cooking over a fire",10296
indignity,noun,sự sỉ nhục,"And at that point, the wheat has suffered the ultimate indignity .","Và trên quan điểm đó, lúa mỳ đã phải chịu đựng sự sỉ nhục nghiêm trọng.","degradation, debasement or humiliation",10297
moderator,noun,chủ tịch giáo hội,"All data is grouped by Status (slow, moderate , or fast).","Tất cả dữ liệu đều được nhóm theo Trạng thái (chậm, trung bình hoặc nhanh).",the person who presides over a synod of a Presbyterian Church,10298
elongate,adjective,kéo dài ra,She is also able to elongate her entire body like a snake.,Cô cũng có thể kéo dài cơ thể ra như một con rắn.,"lengthened, extended.",10299
metabolism,noun,trao đổi chất,But unfortunately the thing is that we don't understand metabolism very well.,Không may là chúng ta ko hiểu sự trao đổi chất nhiều lắm.,(physiology) The complete set of chemical reactions that occur in living cells.,10300
clime,noun,vùng,We speak beyond here to you in many lands and climes .,Chúng tôi không những ngỏ lời cho các anh chị em hiện diện nơi đây trong tòa nhà này mà còn cho các anh chị em trong nhiều quốc gia khác nhau.,A particular region as defined by its weather or climate.,10301
whelp,verb,đẻ,Redhide whelp as ever was.,Con của người da đỏ hơn bao giờ hết.,the young of a mammal.,10302
contemptible,adjective,đáng khinh,Some contemptible junkie who couldn't keep the peace for eight hours.,"Một thằng nghiện đáng khinh , kẻ không thể giữ hòa khí trong tám tiếng.",deserving contempt,10303
reaper,noun,máy gặt,I was a Reaper .,Tôi là một cái máy gặt .,One who reaps.,10304
expulsion,noun,đuổi,You know that what you've done means immediate expulsion from this school?,"Em biết thế có nghĩa là xong, nghĩa là em sẽ bị đuổi học ngay lập tức không?",The act of expelling or the state of being expelled.,10305
frisk,verb,nhảy cỡn,Frisk him!,Lục soát hắn!,Lively; brisk; frolicsome; frisky.,10306
uproarious,adjective,om sòm,"Upon landing at New York's John F. Kennedy Airport, an uproarious crowd estimated at 3,000 greeted them.","Khi bước xuống sân bây John F. Kennedy ở thành phố New York, đã có khoảng 3.000 người tới chờ đón họ.","Characterized by loud, confused noise, or by noisy and uncontrollable laughter.",10307
arithmetic,noun,số học,"If war were arithmetic , the mathematicians would rule the world.","Nếu chiến tranh chỉ là thuật số học , thì các toán học gia đã thống trị thế giới.","The mathematics of numbers (integers, rational numbers, real numbers, or complex numbers) under the operations of addition, subtraction, multiplication, and division.",10308
calculate,Verb,suy tính,"If they do choose to have a gathering, they will want to calculate the expense of the gathering and consider its nature.","Nếu quyết định tổ chức tiệc cưới, họ sẽ suy tính kỹ về phí tổn lẫn hình thức bữa tiệc.",(transitive) (mathematics) To determine the value of something or the solution to something by a mathematical process.,10309
distance,noun,khoảng cách,The distance he ran was much greater than had been expected.,Khoảng cách anh ấy đã chạy lớn hơn nhiều so với điều tôi nghĩ.,"(countable) The amount of space between two points, usually geographical points, usually (but not necessarily) measured along a straight line.",10310
equal,adjective,bình đẳng,"You may write in any language you want. On Tatoeba, all languages are equal .","Bạn có thể viết bằng bất kỳ ngôn ngữ nào mà bạn muốn. Ở Tatoeba, tất cả mọi ngôn ngữ đều bình đẳng .",(not comparable) The same in all respects.,10311
gallon,noun,Galông,"You just pull the plug, 500 gallons per minute hits the walls.","Anh chỉ cần kéo cái chốt, 500 galông nước mỗi phút đấy.","A unit of volume, equivalent to eight pints",10312
increase,verb,tăng,"The deterioration of the ship while waiting for modernisation, combined with post-World War II reductions in RAN personnel numbers, the increases in both time and cost for the other four Q-class conversions, and the need for the RAN to cut back spending in order to support the navy's new aircraft carriers, meant that the conversion of Quality was cancelled and the ship was marked for disposal.","Sự hư hỏng của con tàu đang khi chờ đợi để được cải biến; kết hợp với bối cảnh chung sau Thế Chiến II trong xu thế cắt giảm nhân sự Hải quân Australia, gia tăng thời gian và chi phí để cải biến bốn chiếc lớp Q, và nhu cầu cắt giảm chi phí của hải quân để hỗ trợ cho hoạt động của các tàu sân bay mới, đã khiến cho việc cải biến Quality bị hủy bỏ, và con tàu được đưa vào danh sách để loại bỏ.","(intransitive, of a quantity) to become larger.",10313
length,verb,bề dài,What is the length of floor y in feet?,Vậy bề dài của sàn nhà ( đo bằng feet ) là bao nhiêu?,The measurement of distance along the longest dimension of an object.,10314
measurement,noun,kích thước,Pupil measurement might also be useful for studying babies .,Đo kích thước đồng tử cũng có thể hữu ích trong nghiên cứu trẻ nhỏ .,The act of measuring.,10315
multiplication,noun,phép nhân,"On the other hand, it's a multiplication , and those are two different perspectives.","Mặt khác, nó là phép nhân , Và chúng là hai cách nhìn khác nhau.","(uncountable, arithmetic, mathematics) The process of computing the sum of a number with itself a specified number of times, or any other analogous binary operation that combines other mathematical objects.",10316
shape,noun,hình,Their scope and shape is unclear.,Phạm vi và hình dạng của chúng là không rõ ràng.,The status or condition of something,10317
subtraction,noun,phép trừ,So is it gonna be a subtraction or an addition?,Vậy sẽ là một phép cộng hay phép trừ ?,(arithmetic) (uncountable) The process of subtracting a number from another.,10318
